Stock Price;Strike Price;Maturity;Dividends;Volatility;Risk free;Call Price
2073.9;300;03/31/17;0;0.285146;0;489110.0
0.1;300;03/31/17;0;0.281087;0;918397.0
1974.1;400;03/31/17;0;0.285146;0;683317.0
0.05;400;03/31/17;0;0.281087;10;338204.0
1874.1;500;03/31/17;0;0.285146;0;508926.0
0.05;500;03/31/17;0;0.281087;0;460342.0
1774.1;600;03/31/17;0;0.285146;0;279064.0
0.05;600;03/31/17;0;0.281087;132;360124.0
1673.9;700;03/31/17;0;0.285146;0;324532.0
0.05;700;03/31/17;0;0.281087;300;310790.0
1624.1;750;03/31/17;0;0.285146;0;254658.0
0.05;750;03/31/17;0;0.281087;2;243542.0
1574.1;800;03/31/17;0;0.285146;0;338196.0
0.05;800;03/31/17;0;0.281087;127;341526.0
1524.5;850;03/31/17;0;0.285146;0;371082.0
0.05;850;03/31/17;0;0.281087;62;446052.0
1474.2;900;03/31/17;0;0.285146;0;462387.0
0.05;900;03/31/17;0;0.281087;4;262860.0
1424.4;950;03/31/17;0;0.285146;0;324513.0
0.05;950;03/31/17;0;0.281087;301;279260.0
1374.4;1000;03/31/17;0;0.285146;1;335346.0
0.05;1000;03/31/17;0;0.281087;2421;267587.0
1353.9;1025;03/31/17;0;0.285146;0;223136.0
0.05;1025;03/31/17;0;0.281087;336;250397.0
1324.2;1050;03/31/17;0;0.285146;0;216658.0
0.05;1050;03/31/17;0;0.281087;100;263810.0
1299.4;1075;03/31/17;0;0.285146;0;578088.0
0.05;1075;03/31/17;0;0.281087;51;285923.0
1274.4;1100;03/31/17;0;0.285146;0;355493.0
0.05;1100;03/31/17;0;0.281087;19;231971.0
1249.4;1125;03/31/17;0;0.285146;0;215252.0
0.05;1125;03/31/17;0;0.281087;419;162291.0
1224.2;1150;03/31/17;0;0.285146;0;175641.0
0.05;1150;03/31/17;0;0.281087;116;415284.0
1199.2;1175;03/31/17;0;0.285146;0;443080.0
0.05;1175;03/31/17;0;0.281087;99;271459.0
1179.1;1200;03/31/17;0;0.285146;0;206927.0
0.05;1200;03/31/17;0;0.281087;1576;185792.0
1149.2;1225;03/31/17;0;0.285146;0;203942.0
0.05;1225;03/31/17;0;0.281087;554;224581.0
1124;1250;03/31/17;0;0.285146;0;355604.0
0.05;1250;03/31/17;0;0.281087;101;296121.0
1099;1275;03/31/17;0;0.285146;0;330352.0
0.05;1275;03/31/17;0;0.281087;115;369589.0
1074.2;1300;03/31/17;0;0.285146;0;645702.0
0.05;1300;03/31/17;0;0.281087;304;387874.0
1049;1325;03/31/17;0;0.285146;0;321394.0
0.05;1325;03/31/17;0;0.281087;135;448114.0
1024.2;1350;03/31/17;0;0.285146;0;435666.0
0.05;1350;03/31/17;0;0.281087;2800;384333.0
999;1375;03/31/17;0;0.285146;0;351320.0
0.05;1375;03/31/17;0;0.281087;2865;378253.0
974.2;1400;03/31/17;0;0.285146;0;352523.0
0.05;1400;03/31/17;0;0.281087;3466;343215.0
949.2;1425;03/31/17;0;0.285146;0;216203.0
0.05;1425;03/31/17;0;0.281087;102;249086.0
924.2;1450;03/31/17;0;0.285146;0;229273.0
0.05;1450;03/31/17;0;0.281087;12717;216897.0
899.2;1475;03/31/17;0;0.285146;0;180221.0
0.05;1475;03/31/17;0;0.281087;522;272262.0
874;1500;03/31/17;0;0.285146;49;203043.0
0.05;1500;03/31/17;0;0.281087;3394;151734.0
849.2;1525;03/31/17;0;0.285146;21;152991.0
0.05;1525;03/31/17;0;0.281087;6311;219053.0
824.2;1550;03/31/17;0;0.285146;13;179559.0
0.05;1550;03/31/17;0;0.281087;5863;223446.0
799.2;1575;03/31/17;0;0.285146;2;149119.0
0.05;1575;03/31/17;0;0.281087;4231;188596.0
774;1600;03/31/17;0;0.285146;109;195260.0
0.05;1600;03/31/17;0;0.281087;22292;347889.0
749.2;1625;03/31/17;0;0.285146;47;222706.0
0.05;1625;03/31/17;0;0.281087;5911;130574.0
724;1650;03/31/17;0;0.285146;26;86891.0
0.05;1650;03/31/17;0;0.281087;10850;97148.0
699;1675;03/31/17;0;0.285146;2;100449.0
0.05;1675;03/31/17;0;0.281087;3250;151213.0
674.2;1700;03/31/17;0;0.285146;5;117675.0
0.05;1700;03/31/17;0;0.281087;9040;163959.0
649.2;1725;03/31/17;0;0.285146;2;131412.0
0.05;1725;03/31/17;0;0.281087;5155;127451.0
624;1750;03/31/17;0;0.285146;1;132998.0
0.05;1750;03/31/17;0;0.281087;4665;101022.0
599.2;1775;03/31/17;0;0.285146;2;168429.0
0.05;1775;03/31/17;0;0.281087;7072;154095.0
584.2;1790;03/31/17;0;0.285146;0;145755.0
0.05;1790;03/31/17;0;0.281087;5227;206956.0
574.2;1800;03/31/17;0;0.285146;6;192732.0
0.05;1800;03/31/17;0;0.281087;14893;101103.0
564.2;1810;03/31/17;0;0.285146;2;133229.0
0.05;1810;03/31/17;0;0.281087;5706;185576.0
554;1820;03/31/17;0;0.285146;0;261591.0
0.05;1820;03/31/17;0;0.281087;853;178580.0
549.2;1825;03/31/17;0;0.285146;39;210142.0
0.05;1825;03/31/17;0;0.281087;14821;144705.0
544.2;1830;03/31/17;0;0.285146;3;139524.0
0.05;1830;03/31/17;0;0.281087;444;142401.0
534.2;1840;03/31/17;0;0.285146;0;151120.0
0.05;1840;03/31/17;0;0.281087;655;137742.0
524.2;1850;03/31/17;0;0.285146;10;212419.0
0.05;1850;03/31/17;0;0.281087;15583;176839.0
514.2;1860;03/31/17;0;0.285146;0;112497.0
0.05;1860;03/31/17;0;0.281087;2145;84967.0
504.2;1870;03/31/17;0;0.285146;0;97968.0
0.05;1870;03/31/17;0;0.281087;1484;124013.0
499.2;1875;03/31/17;0;0.285146;11;145328.0
0.05;1875;03/31/17;0;0.281087;5063;114205.0
494.2;1880;03/31/17;0;0.285146;0;108642.0
0.05;1880;03/31/17;0;0.281087;1128;131581.0
489.2;1885;03/31/17;0;0.285146;0;100147.0
0.05;1885;03/31/17;0;0.281087;1182;155784.0
484;1890;03/31/17;0;0.285146;0;166547.0
0.05;1890;03/31/17;0;0.281087;3099;189624.0
479;1895;03/31/17;0;0.285146;1;113403.0
0.05;1895;03/31/17;0;0.281087;1591;98551.0
474.2;1900;03/31/17;0;0.285146;4;90670.0
0.05;1900;03/31/17;0;0.281087;18184;77389.0
469.8;1905;03/31/17;0;0.285146;0;91389.0
0.05;1905;03/31/17;0;0.281087;340;111397.0
464.8;1910;03/31/17;0;0.285146;1;109921.0
0.05;1910;03/31/17;0;0.281087;2026;124506.0
459.1;1915;03/31/17;0;0.285146;0;108642.0
0.05;1915;03/31/17;0;0.281087;682;92264.0
454.1;1920;03/31/17;0;0.285146;0;79151.0
0.05;1920;03/31/17;0;0.281087;2325;77869.0
449.1;1925;03/31/17;0;0.285146;1;91261.0
0.05;1925;03/31/17;0;0.281087;7168;131970.0
444.1;1930;03/31/17;0;0.285146;1;171129.0
0.05;1930;03/31/17;0;0.281087;4344;90456.0
439.3;1935;03/31/17;0;0.285146;0;81453.0
0.05;1935;03/31/17;0;0.281087;697;60112.0
434.3;1940;03/31/17;0;0.285146;3;57889.0
